打开新窗口					Ctrl + n
在无痕模式下打开新窗口				Ctrl + Shift + n
打开新的标签页，并跳转到该标签页			Ctrl + t
重新打开最后关闭的标签页，并跳转到该标签页		Ctrl + Shift + t
跳转到特定标签页					Ctrl + 1 到 Ctrl + 8
跳转到最后一个标签页				Ctrl + 9
在当前标签页中打开主页				Alt + Home
打开当前标签页浏览记录中记录的上一个页面		Alt + 向左箭头键
打开当前标签页浏览记录中记录的下一个页面		Alt + 向右箭头键
关闭当前标签页					Ctrl + w 或 Ctrl + F4
关闭所有打开的标签页和浏览器			Ctrl + Shift + w
关闭当前窗口					Alt + F4
退出 Google Chrome				Ctrl + Shift + q
打开 Chrome 菜单					Alt + f、Alt + e 或 F10
显示或隐藏书签栏					Ctrl + Shift + b
打开书签管理器					Ctrl + Shift + o
在新标签页中打开“历史记录”页			Ctrl + h
在新标签页中打开“下载内容”页			Ctrl + j
打开 Chrome 任务管理器				Shift + Esc
将焦点放置在 Chrome 工具栏中的第一项上		Shift + Alt + t
在地址栏、书签栏（若显示）和页面内容之间向前切换焦点	F6
在地址栏、书签栏（若显示）和页面内容之间向后切换焦点	Shift + F6
打开查找栏搜索当前网页				Ctrl + f 或 F3
跳转到与查找栏中搜索字词相匹配的下一条内容		Ctrl + g
跳转到与查找栏中搜索字词相匹配的上一条内容		Ctrl + Shift + g
使用其他帐号登录或以访客身份浏览			Ctrl + Shift + m
在新标签页中打开 Chrome 帮助中心			F1
打开“开发者工具”					Ctrl + Shift + j 或 F12
开启或关闭全屏模式					F11
放大网页上的所有内容				Ctrl 和 +
缩小网页上的所有内容				Ctrl 和 -
将网页上的所有内容恢复到默认大小			Ctrl + 0
浏览下一个可点击项					Tab
浏览上一个可点击项					Shift + Tab
重新加载当前网页					F5 或 Ctrl + r
重新加载当前网页（忽略缓存的内容）			Shift + F5 或 Ctrl + Shift + r
停止加载网页					Esc
将当前网页保存为书签				Ctrl + d
